var	ctrl	d3g1lg4	d3g2l
Variant_000001	64	72	33
Variant_000002	38	29	11
Variant_000003	32	19	12
Variant_000004	16	11	9
Variant_000005	54	21	10
Variant_000006	23	7	3
Variant_000007	24	14	7
Variant_000008	17	7	8
Variant_000009	42	22	9
Variant_000010	20	15	3
Variant_000011	28	17	11
Variant_000012	18	15	6
Variant_000013	31	14	5
Variant_000014	19	11	5
Variant_000015	27	6	9
Variant_000016	11	16	6
Variant_000017	36	28	14
Variant_000018	27	22	11
Variant_000019	9	7	12
Variant_000020	20	9	14
Variant_000021	22	23	7
Variant_000022	19	18	9
Variant_000023	21	3	1
Variant_000024	6	1	1
Variant_000025	28	9	11
Variant_000026	16	5	4
Variant_000027	18	7	4
Variant_000028	13	11	13
Variant_000029	25	8	4
Variant_000030	11	3	4
Variant_000031	20	2	1
Variant_000032	17	3	1
Variant_000033	31	41	20
Variant_000034	18	10	4
Variant_000035	20	15	12
Variant_000036	16	10	7
Variant_000037	22	10	6
Variant_000038	18	6	2
Variant_000039	12	7	3
Variant_000040	14	0	0
Variant_000041	19	9	2
Variant_000042	16	13	5
Variant_000043	27	12	15
Variant_000044	10	14	12
Variant_000045	23	10	9
Variant_000046	8	6	6
Variant_000047	17	4	3
Variant_000048	10	4	5
Variant_000049	29	8	11
Variant_000050	19	15	5
Variant_000051	21	11	4
Variant_000052	21	10	5
Variant_000053	18	9	4
Variant_000054	13	5	1
Variant_000055	19	2	1
Variant_000056	17	12	9
Variant_000057	17	11	8
Variant_000058	10	4	6
Variant_000059	14	5	5
Variant_000060	18	4	0
Variant_000061	15	4	1
Variant_000062	13	10	5
Variant_000063	12	6	2
Variant_000064	17	7	7
Variant_000065	122	135	85
Variant_000066	69	52	43
Variant_000067	46	32	32
Variant_000068	53	54	47
Variant_000069	57	25	15
Variant_000070	38	38	27
Variant_000071	32	26	15
Variant_000072	30	27	12
Variant_000073	72	72	35
Variant_000074	36	23	16
Variant_000075	41	13	4
Variant_000076	35	20	19
Variant_000077	59	40	12
Variant_000078	35	6	7
Variant_000079	34	24	5
Variant_000080	24	9	10
Variant_000081	75	94	64
Variant_000082	40	29	17
Variant_000083	37	40	33
Variant_000084	22	29	13
Variant_000085	38	30	8
Variant_000086	30	13	3
Variant_000087	33	16	4
Variant_000088	16	4	2
Variant_000089	67	41	26
Variant_000090	33	17	13
Variant_000091	31	23	9
Variant_000092	24	5	5
Variant_000093	45	10	11
Variant_000094	24	18	8
Variant_000095	41	25	16
Variant_000096	24	9	6
Variant_000097	67	56	24
Variant_000098	53	31	19
Variant_000099	49	36	26
Variant_000100	28	10	5
Variant_000101	53	33	15
Variant_000102	23	15	8
Variant_000103	31	11	8
Variant_000104	31	7	13
Variant_000105	51	44	40
Variant_000106	27	25	8
Variant_000107	28	17	5
Variant_000108	24	13	7
Variant_000109	41	20	14
Variant_000110	26	16	8
Variant_000111	24	9	3
Variant_000112	20	4	3
Variant_000113	39	10	8
Variant_000114	37	22	6
Variant_000115	37	13	4
Variant_000116	30	8	8
Variant_000117	36	25	7
Variant_000118	29	10	9
Variant_000119	35	27	19
Variant_000120	19	18	7
Variant_000121	49	12	5
Variant_000122	33	21	19
Variant_000123	44	19	18
Variant_000124	23	6	7
Variant_000125	48	7	6
Variant_000126	18	9	6
Variant_000127	27	19	8
Variant_000128	26	19	13
Variant_000129	83	84	66
Variant_000130	65	48	36
Variant_000131	47	53	33
Variant_000132	25	30	33
Variant_000133	50	25	8
Variant_000134	28	20	7
Variant_000135	30	19	13
Variant_000136	24	25	11
Variant_000137	58	37	30
Variant_000138	27	25	8
Variant_000139	32	21	18
Variant_000140	11	23	14
Variant_000141	56	23	20
Variant_000142	34	22	14
Variant_000143	33	14	14
Variant_000144	22	19	10
Variant_000145	56	38	25
Variant_000146	23	21	10
Variant_000147	30	27	24
Variant_000148	17	24	14
Variant_000149	34	26	17
Variant_000150	23	8	4
Variant_000151	18	7	4
Variant_000152	10	2	1
Variant_000153	37	18	16
Variant_000154	40	25	19
Variant_000155	26	4	4
Variant_000156	18	6	1
Variant_000157	42	7	6
Variant_000158	31	22	11
Variant_000159	18	1	4
Variant_000160	24	3	2
Variant_000161	49	49	35
Variant_000162	27	13	6
Variant_000163	27	14	4
Variant_000164	24	4	2
Variant_000165	38	17	11
Variant_000166	24	30	13
Variant_000167	25	14	5
Variant_000168	22	7	6
Variant_000169	36	14	11
Variant_000170	24	33	17
Variant_000171	21	10	1
Variant_000172	23	11	4
Variant_000173	33	6	4
Variant_000174	27	11	7
Variant_000175	27	4	5
Variant_000176	14	13	6
Variant_000177	37	19	7
Variant_000178	24	24	12
Variant_000179	30	16	5
Variant_000180	25	1	1
Variant_000181	33	35	13
Variant_000182	11	6	5
Variant_000183	22	1	0
Variant_000184	19	5	4
Variant_000185	38	23	21
Variant_000186	23	15	6
Variant_000187	16	9	12
Variant_000188	9	7	8
Variant_000189	29	11	6
Variant_000190	21	13	3
Variant_000191	22	19	10
Variant_000192	11	4	5
Variant_000193	191	167	109
Variant_000194	116	103	70
Variant_000195	91	77	42
Variant_000196	69	47	33
Variant_000197	94	55	42
Variant_000198	64	35	17
Variant_000199	73	67	31
Variant_000200	45	32	14
Variant_000201	114	72	72
Variant_000202	69	31	24
Variant_000203	62	23	18
Variant_000204	36	18	7
Variant_000205	90	43	40
Variant_000206	48	44	27
Variant_000207	71	26	18
Variant_000208	31	7	8
Variant_000209	90	83	51
Variant_000210	56	33	17
Variant_000211	63	21	21
Variant_000212	40	49	41
Variant_000213	48	21	19
Variant_000214	33	9	10
Variant_000215	44	17	12
Variant_000216	28	8	14
Variant_000217	83	43	25
Variant_000218	37	14	13
Variant_000219	52	29	14
Variant_000220	26	14	8
Variant_000221	77	33	22
Variant_000222	40	27	6
Variant_000223	44	17	9
Variant_000224	42	19	6
Variant_000225	94	56	29
Variant_000226	58	58	29
Variant_000227	63	43	20
Variant_000228	35	42	18
Variant_000229	59	24	28
Variant_000230	42	23	14
Variant_000231	56	49	20
Variant_000232	28	9	12
Variant_000233	78	49	31
Variant_000234	50	49	22
Variant_000235	35	12	5
Variant_000236	35	25	15
Variant_000237	79	30	17
Variant_000238	36	7	5
Variant_000239	37	18	11
Variant_000240	24	19	9
Variant_000241	83	47	48
Variant_000242	56	30	33
Variant_000243	49	21	15
Variant_000244	39	15	7
Variant_000245	65	40	15
Variant_000246	57	32	23
Variant_000247	48	44	26
Variant_000248	32	14	5
Variant_000249	79	42	17
Variant_000250	38	30	10
Variant_000251	33	38	22
Variant_000252	27	9	4
Variant_000253	63	23	16
Variant_000254	28	15	11
Variant_000255	54	21	11
Variant_000256	26	13	7
Variant_000257	76	63	36
Variant_000258	41	47	27
Variant_000259	52	59	33
Variant_000260	25	10	7
Variant_000261	47	36	21
Variant_000262	37	11	10
Variant_000263	35	24	14
Variant_000264	23	7	4
Variant_000265	48	24	7
Variant_000266	28	33	15
Variant_000267	26	9	2
Variant_000268	19	7	1
Variant_000269	43	15	10
Variant_000270	24	17	8
Variant_000271	29	9	7
Variant_000272	20	18	9
