var	-5	-4	-3	-2	-1	0	1	2	3	4	5
Variant_000001	1.0		1.0		14.0	13.0	2.0	1.0			1.0
Variant_000002		1.0	1.0		1.0	8.0					
Variant_000003		1.0		1.0	1.0	8.0			1.0		
Variant_000004					1.0	6.0	2.0				
Variant_000005			1.0		3.0	3.0	1.0	1.0	1.0		
Variant_000006					2.0	1.0					
Variant_000007		1.0			3.0	3.0					
Variant_000008	1.0				4.0	1.0	1.0				1.0
Variant_000009			3.0		1.0	5.0					
Variant_000010						2.0	1.0				
Variant_000011	1.0		1.0	1.0	2.0	6.0					
Variant_000012					2.0	3.0					1.0
Variant_000013			1.0		2.0	2.0					
Variant_000014			1.0	1.0	1.0	1.0					1.0
Variant_000015			1.0		2.0	4.0					2.0
Variant_000016					1.0	3.0					2.0
Variant_000017					1.0	10.0	1.0	1.0	1.0		
Variant_000018	1.0					9.0	1.0				
Variant_000019						11.0			1.0		
Variant_000020	1.0					13.0					
Variant_000021	1.0		1.0			3.0		1.0			1.0
Variant_000022	1.0				5.0	2.0					1.0
Variant_000023						1.0					
Variant_000024	1.0										
Variant_000025	2.0		1.0		2.0	4.0	1.0			1.0	
Variant_000026				2.0		2.0					
Variant_000027			1.0			1.0				1.0	1.0
Variant_000028						9.0				1.0	3.0
Variant_000029			2.0		1.0	1.0					
Variant_000030						3.0	1.0				
Variant_000031						1.0					
Variant_000032						1.0					
Variant_000033	1.0		1.0		4.0	10.0	2.0	2.0			
Variant_000034					2.0	2.0					
Variant_000035			2.0		1.0	8.0			1.0		
Variant_000036					2.0	5.0					
Variant_000037	1.0				2.0		1.0	1.0		1.0	
Variant_000038			1.0		1.0						
Variant_000039					2.0	1.0					
Variant_000041	1.0				1.0						
Variant_000042		1.0			2.0	1.0	1.0				
Variant_000043		1.0			2.0	9.0	2.0		1.0		
Variant_000044		2.0			1.0	6.0					3.0
Variant_000045	1.0		1.0		3.0	3.0		1.0			
Variant_000046					2.0	4.0					
Variant_000047					2.0	1.0					
Variant_000048					1.0	3.0					1.0
Variant_000049			2.0		3.0	5.0		1.0			
Variant_000050						4.0		1.0			
Variant_000051					2.0	2.0					
Variant_000052	1.0			1.0		2.0		1.0			
Variant_000053			1.0		1.0	2.0					
Variant_000054					1.0						
Variant_000055						1.0					
Variant_000056		1.0			3.0	5.0					
Variant_000057	1.0					6.0		1.0			
Variant_000058	2.0					4.0					
Variant_000059	2.0				1.0	1.0	1.0				
Variant_000061			1.0								
Variant_000062						5.0					
Variant_000063	1.0					1.0					
Variant_000064	1.0				1.0	4.0				1.0	
Variant_000065	2.0		2.0	2.0	18.0	55.0	5.0			1.0	
Variant_000066	1.0		1.0	3.0	5.0	29.0	2.0	1.0			1.0
Variant_000067	2.0				8.0	20.0		1.0	1.0		
Variant_000068					7.0	34.0	6.0				
Variant_000069		1.0	2.0		4.0	4.0	1.0	3.0			
Variant_000070	1.0	1.0		1.0	7.0	11.0	1.0	4.0		1.0	
Variant_000071		1.0	1.0		7.0	5.0					1.0
Variant_000072			1.0	1.0	5.0	4.0		1.0			
Variant_000073	2.0		1.0	1.0	2.0	21.0	4.0	1.0		1.0	2.0
Variant_000074				1.0	2.0	9.0	3.0				1.0
Variant_000075	1.0					2.0	1.0				
Variant_000076		1.0	1.0		2.0	13.0	1.0			1.0	
Variant_000077				1.0	2.0	8.0	1.0				
Variant_000078		2.0			2.0	2.0		1.0			
Variant_000079	1.0		1.0			2.0			1.0		
Variant_000080					3.0	5.0		1.0	1.0		
Variant_000081			1.0	3.0	15.0	35.0	2.0	2.0	1.0	1.0	4.0
Variant_000082			2.0	1.0	2.0	11.0	1.0				
