var	-5	-4	-3	-2	-1	0	1	2	3	4	5
Variant_000001	1.0	3.0	2.0	2.0	21.0	35.0	4.0	3.0			1.0
Variant_000002		1.0	4.0		4.0	19.0					1.0
Variant_000003		1.0			3.0	14.0			1.0		
Variant_000004	1.0				2.0	5.0	3.0				
Variant_000005	3.0		2.0	1.0	5.0	9.0		1.0			
Variant_000006			1.0	1.0	4.0	1.0					
Variant_000007			1.0		5.0	4.0	4.0				
Variant_000008					4.0	2.0		1.0			
Variant_000009		1.0	1.0		2.0	13.0	3.0			2.0	
Variant_000010		1.0	1.0			11.0	2.0				
Variant_000011			1.0		2.0	12.0	1.0				1.0
Variant_000012		1.0		1.0	3.0	8.0					2.0
Variant_000013		1.0	1.0		1.0	2.0	4.0	3.0			2.0
Variant_000014	1.0				4.0	4.0	1.0	1.0			
Variant_000015			1.0			5.0					
Variant_000016	1.0				4.0	7.0		1.0		1.0	2.0
Variant_000017	1.0				3.0	21.0	2.0	1.0			
Variant_000018	1.0				4.0	15.0				1.0	1.0
Variant_000019					1.0	6.0					
Variant_000020			1.0			8.0					
Variant_000021	1.0	2.0	5.0	2.0	7.0	1.0	1.0	2.0			2.0
Variant_000022					4.0	8.0	1.0	2.0		1.0	2.0
Variant_000023			1.0			1.0					1.0
Variant_000024					1.0						
Variant_000025					1.0	6.0	1.0				1.0
Variant_000026						3.0	1.0				1.0
Variant_000027					1.0	6.0					
Variant_000028						9.0	1.0				1.0
Variant_000029			5.0			1.0		1.0			1.0
Variant_000030						3.0					
Variant_000031						2.0					
Variant_000032			1.0				1.0				1.0
Variant_000033		1.0		2.0	9.0	25.0	2.0	1.0			1.0
Variant_000034		1.0		1.0	2.0	5.0	1.0				
Variant_000035	1.0		2.0		2.0	6.0	3.0		1.0		
Variant_000036			1.0		1.0	7.0					1.0
Variant_000037		1.0	1.0		3.0	1.0	2.0	2.0			
Variant_000038					4.0		1.0			1.0	
Variant_000039					3.0	3.0		1.0			
Variant_000041	1.0	1.0	1.0		1.0	3.0			1.0	1.0	
Variant_000042	1.0	1.0		1.0	2.0	5.0	2.0				1.0
Variant_000043		1.0			2.0	6.0	1.0				2.0
Variant_000044			1.0	1.0	4.0	7.0					1.0
Variant_000045		1.0			2.0	6.0					1.0
Variant_000046		1.0		1.0			2.0	2.0			
Variant_000047			1.0		1.0	2.0					
Variant_000048		1.0				2.0	1.0				
Variant_000049		1.0			3.0	3.0		1.0			
Variant_000050			1.0		1.0	12.0		1.0			
Variant_000051		1.0	1.0		5.0	3.0					1.0
Variant_000052		1.0	1.0		2.0	5.0					1.0
Variant_000053					1.0	6.0					2.0
Variant_000054			1.0			4.0					
Variant_000055						2.0					
Variant_000056					2.0	9.0				1.0	
Variant_000057					2.0	7.0		1.0			1.0
Variant_000058					1.0	1.0				1.0	1.0
Variant_000059	1.0	1.0				3.0					
Variant_000060					1.0	2.0					1.0
Variant_000061					1.0	2.0					1.0
Variant_000062	2.0	1.0		1.0	1.0	4.0	1.0				
Variant_000063					1.0	5.0					
Variant_000064					1.0	5.0				1.0	
Variant_000065		1.0	5.0	3.0	23.0	86.0	8.0	2.0	2.0	1.0	4.0
Variant_000066	2.0	1.0		1.0	8.0	36.0	2.0	1.0		1.0	
Variant_000067		1.0	1.0		5.0	24.0	1.0				
Variant_000068	1.0				8.0	27.0	17.0		1.0		
Variant_000069					8.0	11.0	1.0	1.0		2.0	2.0
Variant_000070	1.0	2.0	1.0	1.0	8.0	23.0	1.0	1.0			
Variant_000071				1.0	11.0	13.0					1.0
Variant_000072		1.0			11.0	13.0		2.0			
Variant_000073	5.0	2.0	3.0	1.0	10.0	41.0	3.0			4.0	3.0
Variant_000074					3.0	18.0	2.0				
Variant_000075					2.0	8.0	1.0			2.0	
Variant_000076					2.0	16.0	1.0				1.0
Variant_000077			1.0		11.0	20.0	5.0	1.0			2.0
Variant_000078						4.0	1.0	1.0			
Variant_000079	1.0			1.0	2.0	8.0	2.0	2.0	1.0	1.0	6.0
Variant_000080				1.0	3.0	5.0					
Variant_000081	4.0	2.0		1.0	22.0	56.0	1.0	5.0		1.0	2.0
Variant_000082	1.0		1.0		8.0	14.0	3.0	1.0			1.0
Variant_000083	1.0	2.0		1.0	6.0	23.0		1.0	3.0		3.0
Variant_000084				1.0	6.0	21.0					1.0
Variant_000085	1.0	1.0			3.0	13.0	1.0	3.0			8.0
Variant_000086	1.0			1.0	5.0	4.0				1.0	1.0
Variant_000087	2.0	1.0			6.0	4.0		1.0			2.0
Variant_000088		1.0			1.0	1.0	1.0				
Variant_000089	4.0		1.0	3.0		19.0	3.0	1.0	1.0	1.0	8.0
Variant_000090		1.0	2.0	2.0	1.0	8.0	2.0			1.0	
Variant_000091		1.0	1.0	1.0	3.0	10.0		1.0		1.0	5.0
Variant_000092				1.0		3.0			1.0		
Variant_000093	2.0					2.0	1.0	2.0			3.0
Variant_000094	1.0	3.0		1.0	2.0	8.0				2.0	1.0
Variant_000095	1.0		1.0	1.0	2.0	12.0		1.0		1.0	6.0
Variant_000096	2.0	1.0			1.0	4.0					1.0
Variant_000097	1.0	2.0	2.0		15.0	29.0	1.0	1.0		3.0	2.0
Variant_000098	1.0	2.0	1.0	1.0	2.0	20.0	2.0		1.0	1.0	
Variant_000099		3.0	1.0		4.0	20.0			5.0		3.0
Variant_000100		1.0			1.0	7.0	1.0				
Variant_000101	1.0	3.0	4.0	1.0	10.0	5.0	2.0	2.0			5.0
Variant_000102			1.0		5.0	2.0	2.0	1.0	1.0	1.0	2.0
Variant_000103		1.0	1.0		4.0	3.0					2.0
Variant_000104	1.0	1.0			3.0	1.0				1.0	
Variant_000105			1.0		12.0	18.0	5.0	2.0		5.0	1.0
Variant_000106		2.0	1.0	1.0	3.0	14.0	3.0			1.0	
Variant_000107		2.0		1.0	3.0	8.0	1.0				2.0
Variant_000108	2.0	1.0			1.0	6.0			1.0		2.0
Variant_000109	1.0		1.0		6.0	9.0	1.0	2.0			
Variant_000110				1.0	3.0	12.0					
Variant_000111	1.0			1.0	3.0	2.0					2.0
Variant_000112		1.0				3.0					
Variant_000113	1.0	1.0				6.0					2.0
Variant_000114		1.0	2.0		4.0	9.0	4.0			1.0	1.0
Variant_000115			1.0		3.0	7.0		1.0	1.0		
Variant_000116					1.0	6.0					1.0
Variant_000117	3.0	1.0		2.0	6.0	10.0				1.0	2.0
Variant_000118		1.0			6.0	3.0					
Variant_000119	2.0		1.0		14.0	5.0			1.0	3.0	1.0
Variant_000120	1.0	1.0	1.0		8.0	2.0	2.0	1.0		1.0	1.0
Variant_000121	1.0		2.0		3.0	6.0					
Variant_000122	1.0		1.0	1.0	2.0	14.0	1.0			1.0	
Variant_000123				1.0	4.0	11.0	1.0				2.0
Variant_000124				1.0		3.0					2.0
Variant_000125					1.0	6.0					
Variant_000126		1.0				6.0		1.0		1.0	
Variant_000127		1.0			4.0	12.0			2.0		
Variant_000128	1.0	2.0				15.0	1.0				
Variant_000129	3.0		3.0	2.0	12.0	52.0	5.0	5.0			2.0
Variant_000130	1.0	1.0	1.0		7.0	34.0	3.0	1.0			
Variant_000131	1.0	3.0			11.0	35.0			2.0		1.0
Variant_000132			1.0		4.0	18.0	6.0	1.0			
Variant_000133	2.0		3.0		9.0	7.0		2.0		1.0	1.0
Variant_000134				1.0	8.0	8.0	1.0			1.0	1.0
Variant_000135			1.0	1.0	8.0	7.0	1.0				1.0
Variant_000136					15.0	9.0					1.0
Variant_000137	2.0		1.0	1.0	4.0	22.0	2.0			3.0	2.0
Variant_000138		1.0			8.0	15.0	1.0				
Variant_000139		2.0			2.0	15.0	1.0				1.0
Variant_000140	1.0	2.0			2.0	16.0	1.0				1.0
Variant_000141		2.0	1.0		9.0	7.0	3.0				1.0
Variant_000142					4.0	8.0	4.0	3.0			3.0
Variant_000143		1.0				10.0			1.0		2.0
Variant_000144	1.0		1.0		3.0	11.0					3.0
Variant_000145	1.0		3.0	1.0	8.0	23.0	1.0	1.0			
Variant_000146			1.0	1.0	1.0	15.0	1.0	1.0		1.0	
Variant_000147			2.0		8.0	16.0				1.0	
Variant_000148		1.0			2.0	19.0	1.0				1.0
Variant_000149					7.0	13.0	1.0			2.0	3.0
Variant_000150				1.0	2.0	4.0					1.0
Variant_000151					1.0	4.0		1.0	1.0		
Variant_000152					1.0	1.0					
Variant_000153					2.0	12.0	1.0	2.0			1.0
Variant_000154						18.0	3.0	1.0		1.0	2.0
Variant_000155					1.0	2.0		1.0			
Variant_000156		1.0				2.0					3.0
Variant_000157	1.0					1.0	2.0			2.0	1.0
Variant_000158	1.0				4.0	9.0	5.0	1.0		1.0	1.0
Variant_000159											1.0
Variant_000160				1.0	1.0	1.0					
Variant_000161	1.0		2.0	2.0	9.0	26.0	5.0	1.0			3.0
Variant_000162	1.0			2.0	2.0	5.0	2.0	1.0			
Variant_000163			1.0	1.0	3.0	5.0			3.0		1.0
Variant_000164					2.0	1.0			1.0		
Variant_000165	1.0			1.0	7.0	7.0		1.0			
Variant_000166		1.0	1.0	2.0	10.0	12.0	2.0	2.0			
Variant_000167	1.0	1.0		2.0	4.0	5.0					1.0
Variant_000168					4.0	2.0				1.0	
Variant_000169	1.0			1.0		6.0	1.0			2.0	3.0
Variant_000170		2.0			12.0	15.0	1.0			1.0	2.0
Variant_000171					2.0	5.0	1.0		1.0		1.0
Variant_000172		2.0			3.0	4.0	1.0				1.0
Variant_000173					3.0	2.0	1.0				
Variant_000174	1.0	1.0			5.0	2.0	1.0			1.0	
Variant_000175					1.0	2.0	1.0				
Variant_000176			1.0		6.0	5.0			1.0		
Variant_000177	1.0		2.0		4.0	10.0	1.0	1.0			
Variant_000178					4.0	16.0	3.0			1.0	
Variant_000179	1.0				3.0	9.0			3.0		
Variant_000180						1.0					
Variant_000181	1.0	1.0	2.0		20.0	9.0		2.0			
Variant_000182					4.0	1.0	1.0				
Variant_000183		1.0									
Variant_000184					2.0	3.0					
Variant_000185		2.0		3.0	6.0	9.0	1.0				2.0
Variant_000186		1.0	1.0		6.0	4.0	1.0			1.0	1.0
Variant_000187	1.0					7.0					1.0
Variant_000188						7.0					
Variant_000189					2.0	6.0	1.0	1.0		1.0	
Variant_000190	1.0				4.0	6.0	1.0				1.0
Variant_000191		2.0			2.0	14.0	1.0				
Variant_000192					2.0	2.0					
Variant_000193	2.0	4.0	4.0	2.0	32.0	107.0	7.0	8.0	1.0		
Variant_000194	2.0	1.0	4.0	3.0	24.0	64.0	4.0				1.0
Variant_000195	2.0	2.0		3.0	3.0	56.0	5.0	1.0	3.0		2.0
Variant_000196	1.0		1.0	2.0	6.0	32.0	4.0		1.0		
Variant_000197	3.0	4.0			14.0	19.0	2.0	4.0	1.0	4.0	4.0
Variant_000198	2.0	2.0		1.0	16.0	9.0	4.0	1.0			
Variant_000199	1.0		3.0	3.0	28.0	23.0	1.0	2.0		1.0	5.0
Variant_000200		1.0	2.0	2.0	10.0	17.0					
Variant_000201	1.0	1.0	2.0	2.0	9.0	46.0	7.0			1.0	3.0
Variant_000202	1.0				8.0	17.0	4.0	1.0			
Variant_000203	1.0			2.0	3.0	17.0					
Variant_000204		1.0			4.0	11.0	2.0				
Variant_000205			1.0	1.0	6.0	25.0	2.0	2.0		2.0	4.0
Variant_000206	1.0	4.0	4.0	1.0	13.0	11.0	7.0	1.0	1.0		1.0
Variant_000207			1.0	2.0	4.0	5.0	3.0			4.0	7.0
Variant_000208	2.0		1.0		3.0	1.0					
Variant_000209	1.0	1.0	3.0	1.0	13.0	55.0	1.0	5.0			3.0
Variant_000210		1.0	2.0	2.0	4.0	21.0	1.0	1.0		1.0	
Variant_000211	2.0	1.0			2.0	15.0					1.0
Variant_000212					5.0	41.0				1.0	2.0
Variant_000213		1.0			5.0	8.0	2.0	1.0	1.0	2.0	1.0
Variant_000214				1.0	3.0	2.0	1.0	2.0			
Variant_000215	2.0	1.0	1.0		3.0	6.0				2.0	2.0
Variant_000216					3.0	3.0					2.0
Variant_000217	2.0	3.0	1.0	1.0	2.0	25.0	1.0	2.0		1.0	5.0
Variant_000218			1.0	1.0		8.0	1.0	1.0	1.0		1.0
Variant_000219	1.0	2.0			1.0	20.0	1.0		1.0	1.0	2.0
Variant_000220	1.0	1.0			2.0	8.0	1.0			1.0	
Variant_000221	1.0	2.0			6.0	6.0	1.0	10.0	1.0	3.0	3.0
Variant_000222	3.0		1.0		4.0	10.0	2.0	3.0		2.0	2.0
Variant_000223				1.0	4.0	7.0		2.0		1.0	2.0
Variant_000224		2.0	1.0		1.0	8.0	1.0				6.0
Variant_000225	3.0		2.0	3.0	15.0	23.0	5.0	1.0		1.0	3.0
Variant_000226	1.0	3.0	2.0	1.0	10.0	33.0	7.0	1.0			
Variant_000227	2.0	1.0	3.0	1.0	5.0	24.0			6.0		1.0
Variant_000228	1.0		2.0	1.0	12.0	19.0	5.0				2.0
Variant_000229	1.0		1.0		9.0	8.0		2.0			3.0
Variant_000230		1.0	1.0		11.0	7.0	2.0	1.0			
Variant_000231		1.0	1.0		13.0	14.0	1.0	2.0	1.0		16.0
Variant_000232		1.0			4.0	3.0					1.0
Variant_000233	2.0		2.0	2.0	16.0	22.0	1.0	1.0		1.0	2.0
Variant_000234	2.0		1.0	1.0	10.0	31.0	3.0			1.0	
Variant_000235			2.0		1.0	3.0	1.0			1.0	4.0
Variant_000236	2.0	2.0			6.0	10.0		1.0		3.0	1.0
Variant_000237		1.0		1.0	9.0	14.0		2.0		1.0	2.0
